"","rent","size","lift","balcony","terrace","is_house","slope","highway","rail_stati","sun_eve","X","Y"
"2370",1696,108,0,0,0,0,0.008409,0,0.749,218.32,695674,259962
"2371",1970,75,0,0,0,0,0.029099,0,1.549,253.26,685960,250770
"2372",1950,109,0,0,0,0,0.008984,0,0.203,244.73,688962,243501
"2373",2900,150,0,0,0,0,0.006125,0,0.787,234.47,684230,251505
"2374",1380,73,0,0,0,0,0.017822,0,1.199,191,695508,245330
"2375",1176,58,0,0,0,0,0.030071,0,0.393,218.47,675126,249786
"2376",1093,72,0,0,0,0,0.070316,0,0.695,256.3,682522,239952
"2377",1749,66,0,1,0,0,0.068124,0,0.182,109.59,681570,245920
"2378",1758,70,0,0,1,0,0.048868,1,0.996,344.73,683090,249090
"2379",590,29,0,0,0,0,0.073596,0,0.552,0,681869,239901
"2380",760,34,0,0,0,0,0.05813,1,1.303,251.25,684365,250825
"2381",1176,58,0,0,0,0,0.030071,0,0.393,218.47,675126,249786
"2382",1093,72,0,0,0,0,0.070316,0,0.695,256.3,682522,239952
"2383",1160,90,0,0,0,0,0.037813,0,1.963,276.04,677209,256297
"2384",1600,91,0,0,0,0,0.006101,0,0.224,229.14,677869,241987
"2385",2086,104,0,0,0,0,0.045009,0,1.612,136.29,687608,248601
"2386",1250,67,0,1,0,0,0.003538,0,1.094,240.39,688473,249987
"2387",1300,72,0,1,0,0,0.03245,0,0.686,177.1,681130,247135
"2388",1750,96,0,1,0,0,0.024201,0,1.479,266.2,695442,244422
"2389",1980,107,0,0,0,0,0.016883,0,0.946,253.01,698045,232953
"2390",8500,262,1,0,0,0,0.150896,0,0.359,9.35,684107,239993
"2391",10000,272,1,1,0,0,0.150896,0,0.359,9.35,684107,239993
"2392",1920,80,0,0,0,0,0.011105,1,0.27,179.21,681855,246190
"2393",2477,126,0,0,0,0,0.082878,0,1.086,136.26,679030,247355
"2394",1450,50,0,0,0,0,0.061804,0,3.034,379.98,704689,247623
"2395",1360,92,1,1,0,0,0.009586,0,0.627,269.22,693916,263042
"2396",1559,100,0,1,0,0,0.048429,0,0.73,347.94,695627,234464
"2397",2625,100,0,0,0,0,0.009008,0,0.515,246.53,684453,245380
"2398",1495,95,0,1,0,0,0.052986,0,0.219,332.72,674690,248489
"2399",1918,117,1,1,0,0,0.010959,0,0.171,265.41,696542,245266
"2400",1650,100,0,1,0,0,0.025829,0,0.331,292,676014,236767
"2401",1309,69,0,1,0,0,0.054918,0,0.325,145.91,683024,264269
"2402",1680,82,0,1,0,0,0.057819,0,0.947,206.53,688921,253730
"2403",1450,85,0,1,0,0,0.007344,0,0.778,258.19,686864,256624
"2404",1210,70,0,1,0,0,0.003777,0,0.665,225.51,676751,250166
"2405",1828,80,0,1,0,0,0.058973,1,0.263,233.06,689506,242737
"2406",2550,82,0,0,0,0,0.073806,0,0.779,396.41,683801,248596
"2407",2600,85,0,1,0,0,0.020252,0,1.298,210.79,682202,251797
"2408",1763,97,1,1,0,0,0.038612,0,0.507,165.1,679650,247005
"2409",2900,98,0,1,0,0,0.040147,0,0.686,292.85,684430,247235
"2410",2200,170,0,0,0,0,0.013587,0,0.512,260.56,703808,243361
"2411",2875,135,1,1,0,0,0.014554,0,0.295,227.38,683461,251508
"2412",673,33,1,1,0,0,0.003863,0,0.539,242,699570,260597
"2413",748,28,0,0,0,0,0.038185,0,0.388,175.94,680170,252695
"2414",950,40,1,0,0,0,0.016504,0,0.651,209.49,678685,249285
"2415",1055,40,1,1,0,0,0.015245,0,0.633,204.33,678735,249215
"2416",1055,38,0,1,0,0,0.015674,0,0.662,207.77,678715,249190
"2417",1170,39,0,0,0,0,0.003512,0,1.026,219.5,680955,247875
"2418",1265,42,1,0,0,0,0.04947,0,0.671,298.17,683520,247410
"2419",980,47,0,0,0,0,0.017275,0,0.28,197,680790,246865
"2420",673,33,0,0,0,0,0.003863,0,0.539,242,699570,260597
"2421",748,28,0,0,0,0,0.038185,0,0.388,175.94,680170,252695
"2422",980,47,0,0,0,0,0.017275,0,0.28,197,680790,246865
"2423",1265,42,0,0,0,0,0.04947,0,0.671,298.17,683520,247410
"2424",1284,50,0,0,0,0,0.002573,0,0.358,220,682894,248285
"2425",1690,55,0,0,0,0,0.118887,0,0.504,395.85,682295,246040
"2426",1980,77,0,0,0,0,0.006928,0,0.469,203.62,681785,246845
"2427",1950,74,0,0,0,0,0.003254,0,0.168,203.35,682060,247250
"2428",2100,75,0,0,0,0,0.062634,0,0.542,389.4,683460,248575
"2429",670,40,0,1,0,0,0.007344,0,0.778,258.19,686864,256624
"2430",1070,45,0,1,0,0,0.009728,0,1.419,220.41,682164,262986
"2431",1310,100,0,0,0,0,0.013897,0,3.82,211.08,677993,266077
"2432",1260,50,1,1,0,0,0.042892,0,0.548,151.41,681415,247045
"2433",882,70,0,1,0,0,0.008245,0,0.69,257.26,673579,251124
"2434",1890,90,0,1,0,0,0.20748,0,0.911,607.11,688276,238145
"2435",1750,45,0,0,0,0,0.072823,0,0.563,393.79,683515,247285
"2436",1000,80,0,0,0,0,0.025694,0,0.722,174.91,682195,245505
"2437",1602,103,0,0,0,0,0.031568,0,1.146,263.42,683345,253745
"2438",1317,82,0,1,0,0,0.00253,0,1.114,220,698408,260700
"2439",1220,72,1,1,0,0,0.030508,0,0.552,298.01,701481,247607
"2440",1300,75,0,1,0,0,0.06466,0,0.869,178.78,707766,261066
"2441",1733,96,1,1,0,0,0.000178,0,1.117,242,684550,252180
"2442",2091,125,1,1,0,0,0.000178,0,1.117,242,684550,252180
"2443",2329,164,1,1,0,0,0.000178,0,1.117,242,684550,252180
"2444",2584,170,1,1,0,0,0.000178,0,1.117,242,684550,252180
"2445",2760,77,1,0,0,0,0.036497,0,0.814,134.94,684415,241014
